"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"117","F_Rom","~~","F_Rom","",0.183505146974374,0,NA,NA,0.183505146974374,0.183505146974374
"118","M_Ero","~~","M_Ero","",0.324883125084666,0,NA,NA,0.324883125084666,0.324883125084666
"119","X_Ero","~~","X_Ero","",0.2776468699679,0,NA,NA,0.2776468699679,0.2776468699679
"120","F_Ero","~~","F_Ero","",0.479675206780014,0,NA,NA,0.479675206780014,0.479675206780014
"121","Inactive","~~","Inactive","",1,0,NA,NA,1,1
"122","Education","~~","Education","",1,0,NA,NA,1,1
"123","Work","~~","Work","",1,0,NA,NA,1,1
"124","Gym","~~","Gym","",1,0,NA,NA,1,1
"125","Social","~~","Social","",1,0,NA,NA,1,1
"126","AtrZ","~~","AtrZ","",1,0,NA,NA,1,1
"127","RomZ","~~","RomZ","",1,0,NA,NA,1,1
"128","EroZ","~~","EroZ","",1,0,NA,NA,1,1
"129","Atr0","~~","Atr0","",1,0,NA,NA,1,1
"130","Rom0","~~","Rom0","",1,0,NA,NA,1,1
"131","Ero0","~~","Ero0","",1,0,NA,NA,1,1
"132","M_Atr_Z","~*~","M_Atr_Z","",1,0,NA,NA,1,1
"133","X_Atr_Z","~*~","X_Atr_Z","",1,0,NA,NA,1,1
"134","F_Atr_Z","~*~","F_Atr_Z","",1,0,NA,NA,1,1
"135","M_Rom_Z","~*~","M_Rom_Z","",1,0,NA,NA,1,1
"136","X_Rom_Z","~*~","X_Rom_Z","",1,0,NA,NA,1,1
"137","F_Rom_Z","~*~","F_Rom_Z","",1,0,NA,NA,1,1
"138","M_Ero_Z","~*~","M_Ero_Z","",1,0,NA,NA,1,1
"139","X_Ero_Z","~*~","X_Ero_Z","",1,0,NA,NA,1,1
"140","F_Ero_Z","~*~","F_Ero_Z","",1,0,NA,NA,1,1
"141","M_Atr","~*~","M_Atr","",1,0,NA,NA,1,1
"142","X_Atr","~*~","X_Atr","",1,0,NA,NA,1,1
"143","F_Atr","~*~","F_Atr","",1,0,NA,NA,1,1
"144","M_Rom","~*~","M_Rom","",1,0,NA,NA,1,1
"145","X_Rom","~*~","X_Rom","",1,0,NA,NA,1,1
"146","F_Rom","~*~","F_Rom","",1,0,NA,NA,1,1
"147","M_Ero","~*~","M_Ero","",1,0,NA,NA,1,1
"148","X_Ero","~*~","X_Ero","",1,0,NA,NA,1,1
"149","F_Ero","~*~","F_Ero","",1,0,NA,NA,1,1
"150","Inactive","~*~","Inactive","",1,0,NA,NA,1,1
