"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Other_C",91,1096,0.0346715328467153,0.183030006651914,0,0,0,0,1,1,5.08008392599948,23.8289969774713,0.00552862353803954
"M_Atr_Z",92,1096,0.545620437956204,0.498141732322691,1,0.556947608200456,0,0,1,1,-0.182995362610947,-1.96830610027976,0.0150469213052952
"X_Atr_Z",93,1096,0.236313868613139,0.425011101685996,0,0.170842824601367,0,0,1,1,1.23971134309598,-0.463536223600085,0.0128379298219554
"F_Atr_Z",94,1096,0.548357664233577,0.497883230515828,1,0.560364464692483,0,0,1,1,-0.19407579655617,-1.9641241725805,0.0150391129726607
"M_Rom_Z",95,1096,0.451642335766423,0.497883230515828,0,0.439635535307517,0,0,1,1,0.194075796556169,-1.9641241725805,0.0150391129726607
"X_Rom_Z",96,1096,0.177007299270073,0.381849122636268,0,0.0968109339407745,0,0,1,1,1.69018588877595,0.857513237916336,0.0115341745651657
"F_Rom_Z",97,1096,0.29470802919708,0.456119533489249,0,0.24373576309795,0,0,1,1,0.89934609483422,-1.19226193522965,0.0137775943690154
"M_Ero_Z",98,1096,0.437956204379562,0.496362128353638,0,0.42255125284738,0,0,1,1,0.249765978413652,-1.93938397023916,0.0149931664015411
"X_Ero_Z",99,1096,0.335766423357664,0.472473290496204,0,0.29498861047836,0,0,1,1,0.694573563369646,-1.51895097253035,0.0142715776648582
"F_Ero_Z",100,1096,0.523722627737226,0.499664921218861,1,0.529612756264237,0,0,1,1,-0.0948675081935883,-1.99281592188193,0.0150929309085198
"M_Rel_Z",101,1096,0.498175182481752,0.500224926910135,0,0.497722095671982,0,0,1,1,0.00728933102163596,-2.00177080215724,0.0151098464990443
"X_Rel_Z",102,1096,0.113138686131387,0.316906858563048,0,0.0170842824601367,0,0,1,1,2.43925511722794,3.95357530036628,0.00957252173928994
"F_Rel_Z",103,1096,0.0766423357664234,0.266144541007944,0,0,0,0,1,1,3.17850884628787,8.11032091047794,0.00803918986210591
"M_Int_Z",104,1096,0.0328467153284672,0.178316629392685,0,0,0,0,1,1,5.23481238415435,25.4264625211232,0.00538625077121451
"X_Int_Z",105,1096,0.00273722627737226,0.0522707066847414,0,0,0,0,1,1,19.0090816949801,359.673358505863,0.00157889443711168
"F_Int_Z",106,1096,0.00364963503649635,0.0603293961215953,0,0,0,0,1,1,16.439663660595,268.507532394646,0.00182231605371618
"M_Act_Z",107,1096,0,0,0,0,0,0,0,0,NA,NA,0
